entidad,valor
AGS,6.54
BC,4.42
BCS,4.31
CAMP,5.2
CHIS,4.69
CHIH,5.53
CDMX,9.32
COAH,5.01
COL,3.5
DGO,5.93
GTO,6.32
GRO,4.74
HGO,5.48
JAL,5.52
MEX,6.32
MICH,5.58
MOR,6.16
NAY,4.29
NL,6.17
OAX,4.62
PUE,5.93
QRO,6.36
QR,5.08
SLP,6.3
SIN,4.83
SON,4.53
TAB,5.14
TAMS,4.44
TLAX,6.44
VER,4.61
YUC,6.52
ZAC,7.01
